"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",1.9
"10",1.9
"11",1.9
"12",1.9
"13",1.9
"14",1.9
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",1.51
"33",0
"34",1.7
"35",1.9
"36",0
"37",0
"38",0
"39",0
"40",0
"41",1.9
"42",1.9
"43",1.9
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",1.9
"59",0
"60",1.9
"61",1.9
"62",1.9
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",2.3
"71",1.9
"72",0
"73",0
"74",0
"75",0
"76",1.59
"77",1.59
"78",1.59
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0.38
"90",0
"91",1.9
"92",1.9
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",1.36
"114",2.17
"115",1.8
"116",0
"117",1.9
"118",1.9
"119",1.9
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",2.38
"130",2.38
"131",0
"132",0
"133",0
"134",2.08
"135",2.08
"136",0
"137",1.9
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",2.8
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",1.04
"153",2
"154",2.6
"155",2.6
"156",0
"157",0
"158",2.23
"159",2.3
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",2.6
"174",2.6
"175",2.6
"176",2.6
"177",0
"178",0
"179",2.5
"180",0
"181",0
"182",0
"183",0
"184",0
"185",1.83
"186",1.83
"187",1.83
"188",1.83
"189",1.83
"190",1.83
"191",1.83
"192",1.83
"193",1.83
"194",1.83
"195",1.83
"196",1.83
"197",1.9
"198",2.22
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",2.44
"212",2.44
"213",2.44
"214",0
"215",0
"216",0
"217",0.51
"218",1.49
"219",0.67
"220",0
"221",1.9
"222",1.9
"223",1.9
"224",2
"225",0
"226",0
"227",0
"228",2.23
"229",2.23
"230",2.23
"231",2.23
"232",2.23
"233",0
"234",2.23
"235",2.1
"236",2.1
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0.89
"254",0
"255",0
"256",0
"257",2.1
"258",1.58
"259",0
"260",1.5
"261",1.5
"262",1.5
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",2.5
"282",2.5
"283",2.5
"284",0
"285",1.7
"286",0
"287",2.22
"288",2.22
"289",2.22
"290",2.22
"291",0.17
"292",2.22
"293",0
"294",0
"295",0
"296",2.23
"297",0
"298",0
"299",0
"300",0
